ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corrRound,statusFH
Algeria,5.5,2.0,35.3,49.89,1.0,0.0,0.0,0.0,0.0,0.0,-0.43,-0.43,NotFree
Angola,5.5,-2.0,58.6,50.82,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,-1.29,NotFree
Azerbaijan,5.5,-7.0,16.8,51.35,0.0,0.0,0.0,0.0,0.0,0.0,-1.03,-1.03,NotFree
Belarus,6.5,-7.0,28.8,53.62,0.0,0.0,0.0,0.0,0.0,0.0,-0.77,-0.77,NotFree
Cambodia,5.5,2.0,44.2,51.4,0.0,0.0,0.0,1.0,0.0,0.0,-1.15,-1.15,NotFree
Cameroon,6.0,-4.0,44.6,50.41,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,NotFree
Chad,6.5,-2.0,39.8,50.65,0.0,0.0,0.0,0.0,0.0,1.0,-1.35,-1.35,NotFree
China,6.5,-7.0,41.5,48.46,0.0,0.0,0.0,1.0,0.0,0.0,-0.57,-0.57,NotFree
"Congo, Dem. Rep.",6.0,5.0,44.4,51.08,0.0,0.0,0.0,0.0,0.0,1.0,-1.43,-1.43,NotFree
"Congo, Rep.",5.5,-4.0,47.3,50.31,0.0,0.0,0.0,0.0,0.0,1.0,-1.11,-1.11,NotFree
Cote d'Ivoire,5.5,0.0,48.4,48.39,0.0,0.0,0.0,0.0,0.0,1.0,-1.2,-1.2,NotFree
"Egypt, Arab Rep.",5.5,-3.0,32.1,49.79,1.0,0.0,0.0,0.0,0.0,0.0,-0.58,-0.58,NotFree
Gabon,5.5,3.0,41.5,50.7,0.0,0.0,0.0,0.0,0.0,1.0,-0.86,-0.86,NotFree
Guinea,6.5,-1.0,43.3,49.77,0.0,0.0,0.0,0.0,0.0,1.0,-1.17,-1.17,NotFree
"Iran, Islamic Rep.",6.0,-7.0,38.3,48.94,1.0,0.0,0.0,0.0,0.0,0.0,-0.6,-0.6,NotFree
Iraq,5.5,0.0,38.3,49.36,1.0,0.0,0.0,0.0,0.0,0.0,-1.46,-1.46,NotFree
Jordan,5.5,-3.0,37.7,48.27,1.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,NotFree
Kazakhstan,5.5,-6.0,30.9,51.86,0.0,0.0,0.0,0.0,0.0,0.0,-0.94,-0.94,NotFree
Kyrgyz Republic,5.5,1.0,33.5,51.42,0.0,0.0,0.0,0.0,0.0,0.0,-1.17,-1.17,NotFree
Lao PDR,6.5,-7.0,32.6,50.3,0.0,0.0,0.0,1.0,0.0,0.0,-1.21,-1.21,NotFree
Mauritania,5.5,-2.0,39.0,49.77,0.0,0.0,0.0,0.0,0.0,1.0,-0.54,-0.54,NotFree
Qatar,5.5,-10.0,41.1,34.03,1.0,0.0,0.0,0.0,0.0,0.0,1.15,1.15,NotFree
Russian Federation,5.5,4.0,43.7,53.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,-0.92,NotFree
Rwanda,5.5,-3.0,46.7,51.4,0.0,0.0,0.0,0.0,0.0,1.0,-0.16,-0.16,NotFree
Swaziland,6.0,-9.0,50.7,52.21,0.0,0.0,0.0,0.0,0.0,1.0,-0.31,-0.31,NotFree
Tajikistan,5.5,-3.0,33.6,50.48,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,-1.01,NotFree
Tunisia,6.0,-4.0,40.8,49.52,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,NotFree
Turkmenistan,7.0,-9.0,40.8,50.75,0.0,0.0,0.0,0.0,0.0,0.0,-1.44,-1.44,NotFree
Uzbekistan,7.0,-9.0,36.7,50.78,0.0,0.0,0.0,0.0,0.0,0.0,-1.07,-1.07,NotFree
Vietnam,6.0,-7.0,37.8,50.86,0.0,0.0,0.0,1.0,0.0,0.0,-0.66,-0.66,NotFree
"Yemen, Rep.",5.5,-2.0,37.7,49.69,1.0,0.0,0.0,0.0,0.0,0.0,-0.81,-0.81,NotFree
Zimbabwe,6.0,1.0,50.1,50.52,0.0,0.0,0.0,0.0,0.0,1.0,-1.38,-1.38,NotFree
Median of 19 MENA countries,5.5,-6.0,38.3,49.36,1.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,NotFree
